airline_id,name,alias,iata,icao,callsign,country,active
-1,Unknown,,-,,,,Y
1,Private flight,,-,,,,Y
3,1Time Airline,,1T,RNX,NEXTIME,South Africa,Y
10,40-Mile Air,,Q5,MLA,MILE-AIR,United States,Y
13,Ansett Australia,,AN,AAA,ANSETT,Australia,Y
14,Abacus International,,1B,,,Singapore,Y
21,Aigle Azur,,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,,AQ,AAH,ALOHA,United States,Y
24,American Airlines,,AA,AAL,AMERICAN,United States,Y
28,Asiana Airlines,,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,,4K,AAS,AL-AAS,Pakistan,Y
32,Afriqiyah Airways,,8U,AAW,AFRIQIYAH,Libya,Y
35,Allegiant Air,,G4,AAY,ALLEGIANT,United States,Y
42,ABSA - Aerolinhas Brasileiras,,M3,TUS,ABSA Cargo,Brazil,Y
55,Astral Aviation,,8V,ACP,ASTRAL CARGO,Kenya,Y
68,Air Tindi,,8T,,,Canadian Territories,Y
72,Ada Air,,ZY,ADE,ADA AIR,Albania,Y
83,Adria Airways,,JP,ADR,ADRIA,Slovenia,Y
90,Air Europa,,UX,AEA,EUROPA,Spain,Y
93,Aero Benin,,EM,AEB,AEROBEN,Benin,Y
96,Aegean Airlines,,A3,AEE,AEGEAN,Greece,Y
106,Air Europe,,PE,AEL,AIR EUROPE,Italy,Y
109,Alaska Central Express,,KO,AER,ACE AIR,United States,Y
110,ACES Colombia,,,AES,ACES,Colombia,Y
112,Astraeus,,5W,AEU,FLYSTAR,United Kingdom,Y
114,Aerosvit Airlines,,VV,AEW,AEROSVIT,Ukraine,Y
116,Air Italy,,I9,AEY,AIR ITALY,Italy,Y
120,Alliance Airlines,,QQ,UTY,UNITY,Australia,Y
125,Ariana Afghan Airlines,,FG,AFG,ARIANA,Afghanistan,Y
130,Aeroflot Russian Airlines,,SU,AFL,AEROFLOT,Russia,Y
132,Air Bosna,,JA,BON,AIR BOSNA,Bosnia and Herzegovina,Y
137,Air France,,AF,AFR,AIRFRANS,France,Y
139,Air Caledonie International,,SB,ACI,AIRCALIN,France,Y
146,Air Salone,,2O,,,Sierra Leone,Y
149,Air Cargo Carriers,,2Q,SNC,NIGHT CARGO,United States,Y
153,Air Namibia,,SW,NMB,NAMIBIA,Namibia,Y
165,Aerolitoral,,5D,SLI,COSTERA,Mexico,Y
174,Air Glaciers,,7T,AGV,AIR GLACIERS,Switzerland,Y
176,Aviogenex,,,AGX,GENEX,Serbia,Y
179,Aeroper,,PL,PLI,Aeroperu,Peru,Y
180,Atlas Blue,,8A,BMM,ATLAS BLUE,Morocco,Y
197,Azerbaijan Airlines,,J2,AHY,AZAL,Azerbaijan,Y
198,Avies,,U3,AIA,AVIES,Estonia,Y
208,Airblue,,ED,ABQ,PAKBLUE,Pakistan,Y
210,Airlift International,,,AIR,AIRLIFT,United States,Y
214,Air Berlin,,AB,BER,AIR BERLIN,Germany,Y
218,Air India Limited,,AI,AIC,AIRINDIA,India,Y
220,Air Bourbon,,ZB,BUB,BOURBON,Reunion,Y
221,Air Atlanta Icelandic,,CC,ABD,ATLANTA,Iceland,Y
225,Air Tahiti Nui,,TN,THT,TAHITI AIRLINES,France,Y
231,Arkia Israel Airlines,,IZ,AIZ,ARKIA,Israel,Y
239,Air Jamaica,,JM,AJM,JAMAICA,Jamaica,Y
240,Air One,,AP,ADH,HERON,Italy,Y
241,Air Sahara,,S2,RSH,SAHARA,India,Y
242,Air Malta,,KM,AMC,AIR MALTA,Malta,Y
250,Air Japan,,NQ,AJX,AIR JAPAN,Japan,Y
252,Air Korea Co. Ltd.,,,AKA,,Republic of Korea,Y
263,Air Kiribati,,4A,AKL,,Kiribati,Y
281,America West Airlines,,HP,AWE,CACTUS,United States,Y
282,Air Wisconsin,,ZW,AWI,AIR WISCONSIN,United States,Y
286,Tatarstan Airlines,,U9,TAK,TATARSTAN,Russia,Y
287,Allegheny Commuter Airlines,,,ALO,ALLEGHENY,United States,Y
295,Air Sunshine,,,RSI,AIR SUNSHINE,United States,Y
299,Air Libert,,VD,,,France,Y
306,Air Malawi,,QM,AML,MALAWI,Malawi,Y
312,Air Sicilia,,BM,,,Italy,Y
315,ATA Airlines,,,AMT,AMTRAN,United States,Y
316,Air Macau,,NX,AMU,AIR MACAO,Macao,Y
317,AMC Airlines,,,AMV,,Egypt,Y
319,Air Seychelles,,HM,SEY,SEYCHELLES,Seychelles,Y
321,AeroMéxico,,AM,AMX,AEROMEXICO,Mexico,Y
324,All Nippon Airways,ANA All Nippon Airways,NH,ANA,ALL NIPPON,Japan,Y
327,Air Nostrum,,YW,ANE,AIR NOSTRUM,Spain,Y
328,Air Niugini,,PX,ANG,NUIGINI,Papua New Guinea,Y
329,Air Arabia,,G9,ABY,ARABIA,United Arab Emirates,Y
330,Air Canada,,AC,ACA,AIR CANADA,Canada,Y
333,Air Baltic,,BT,BTI,AIRBALTIC,Latvia,Y
336,Air Nippon,,EL,ANK,ANK AIR,Japan,Y
338,Airnorth,,TL,ANO,TOPEND,Australia,Y
341,Air North Charter - Canada,,4N,ANT,AIR NORTH,Canada,Y
345,Air New Zealand,,NZ,ANZ,NEW ZEALAND,New Zealand,Y
371,Alitalia Express,,XM,SMX,ALIEXPRESS,Italy,Y
386,Aero Flight,,GV,ARF,Aero Fox,Germany,Y
397,Arrow Air,,JW,APW,BIG A,United States,Y
410,Aerocondor,,2B,ARD,AEROCONDOR,Portugal,Y
411,Aires,,4C,ARE, Aerovias de Integracion Regional, S.A.,Y
412,Aerolineas Argentinas,,AR,ARG,ARGENTINA,Argentina,Y
439,Alaska Airlines,,AS,ASA, Inc.,ALASKA,Y
442,Air Sinai,,4D,ASD,AIR SINAI,Egypt,Y
452,Atlantic Southeast Airlines,,EV,ASQ,ACEY,United States,Y
462,Astrakhan Airlines,,OB,ASZ,AIR ASTRAKHAN,Russia,Y
465,Air Tanzania,,TC,ATC,TANZANIA,Tanzania,Y
470,Air Burkina,,2J,VBW,BURKINA,Burkina Faso,Y
476,Airlines Of Tasmania,,FO,ATM,AIRTAS,Australia,Y
477,Air Saint Pierre,,PJ,SPM,,France,Y
491,Austrian Airlines,,OS,AUA,AUSTRIAN,Austria,Y
492,Air Southwest,,,WOW,SWALLOW,United Kingdom,Y
493,Augsburg Airways,,IQ,AUB,AUGSBURG-AIR,Germany,Y
497,ATUR,,,TUR,,Ecuador,Y
502,Abu Dhabi Amiri Flight,,MO,AUH,SULTAN,United Arab Emirates,Y
503,Aeroflot-Nord,,5N,AUL,DVINA,Russia,Y
508,Aurigny Air Services,,GR,AUR,AYLINE,United Kingdom,Y
510,Austral Lineas Aereas,,AU,AUT,AUSTRAL,Argentina,Y
515,Avianca - Aerovias Nacionales de Colombia,,AV,AVA, S.A.,AVIANCA,Y
524,Air Vanuatu,,NF,AVN,AIR VAN,Vanuatu,Y
543,Air Bangladesh,,B9,BGD,AIR BANGLA,Bangladesh,Y
547,Air Mediterranee,,DR,BIE,MEDITERRANEE,France,Y
551,Air Moorea,,,TAH,AIR MOOREA,France,Y
563,Aeroline GmbH,,7E,AWU,SYLT-AIR,Germany,Y
565,Air Wales,,6G,AWW,RED DRAGON,United Kingdom,Y
567,Air Caraïbes,,TX,FWI,FRENCH WEST,France,Y
569,Air India Express,,IX,AXB,EXPRESS INDIA,India,Y
575,Air Exel,,XT,AXL,EXEL COMMUTER,Netherlands,Y
