airline,airline_id,source_airport,source_airport_id,dest_airport,dest_airport_id,codeshare,stops,equipment,source_country,dest_country
2B,410.0,AER,2965.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,ASF,2966.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,ASF,2966.0,MRV,2962.0,,0,CR2,Russia,Russia
2B,410.0,CEK,2968.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,CEK,2968.0,OVB,4078.0,,0,CR2,Russia,Russia
2B,410.0,DME,4029.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,DME,4029.0,NBC,6969.0,,0,CR2,Russia,Russia
2B,410.0,DME,4029.0,TGK,,,0,CR2,Russia,Russia
2B,410.0,DME,4029.0,UUA,6160.0,,0,CR2,Russia,Russia
2B,410.0,EGO,6156.0,KGD,2952.0,,0,CR2,Russia,Russia
2B,410.0,EGO,6156.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,GYD,2922.0,NBC,6969.0,,0,CR2,Azerbaijan,Russia
2B,410.0,KGD,2952.0,EGO,6156.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,AER,2965.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,ASF,2966.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,CEK,2968.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,DME,4029.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,EGO,6156.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,LED,2948.0,,0,CR2,Russia,Russia
2B,410.0,KZN,2990.0,SVX,2975.0,,0,CR2,Russia,Russia
2B,410.0,LED,2948.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,LED,2948.0,NBC,6969.0,,0,CR2,Russia,Russia
2B,410.0,LED,2948.0,UUA,6160.0,,0,CR2,Russia,Russia
2B,410.0,MRV,2962.0,ASF,2966.0,,0,CR2,Russia,Russia
2B,410.0,NBC,6969.0,DME,4029.0,,0,CR2,Russia,Russia
2B,410.0,NBC,6969.0,GYD,2922.0,,0,CR2,Russia,Azerbaijan
2B,410.0,NBC,6969.0,LED,2948.0,,0,CR2,Russia,Russia
2B,410.0,NBC,6969.0,SVX,2975.0,,0,CR2,Russia,Russia
2B,410.0,NJC,2972.0,SVX,2975.0,,0,CR2,Russia,Russia
2B,410.0,NJC,2972.0,UUA,6160.0,,0,CR2,Russia,Russia
2B,410.0,NUX,4364.0,SVX,2975.0,,0,CR2,Russia,Russia
2B,410.0,OVB,4078.0,CEK,2968.0,,0,CR2,Russia,Russia
2B,410.0,OVB,4078.0,SVX,2975.0,,0,CR2,Russia,Russia
2B,410.0,SVX,2975.0,KZN,2990.0,,0,CR2,Russia,Russia
2B,410.0,SVX,2975.0,NBC,6969.0,,0,CR2,Russia,Russia
2B,410.0,SVX,2975.0,NJC,2972.0,,0,CR2,Russia,Russia
2B,410.0,SVX,2975.0,NUX,4364.0,,0,CR2,Russia,Russia
2B,410.0,SVX,2975.0,OVB,4078.0,,0,CR2,Russia,Russia
2B,410.0,TGK,,DME,4029.0,,0,CR2,Russia,Russia
2B,410.0,UUA,6160.0,DME,4029.0,,0,CR2,Russia,Russia
2B,410.0,UUA,6160.0,LED,2948.0,,0,CR2,Russia,Russia
2B,410.0,UUA,6160.0,NJC,2972.0,,0,CR2,Russia,Russia
2G,1654.0,BTK,2936.0,IKT,2937.0,,0,A81,Russia,Russia
2G,1654.0,BTK,2936.0,OVB,4078.0,,0,A81,Russia,Russia
2G,1654.0,CEK,2968.0,OVB,4078.0,,0,A81,Russia,Russia
2G,1654.0,HTA,2935.0,IKT,2937.0,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,BTK,2936.0,,0,A81,Russia,Russia
2G,1654.0,IKT,2937.0,HTA,2935.0,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,KCK,,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,ODO,8944.0,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,OVB,4078.0,,0,A81,Russia,Russia
2G,1654.0,IKT,2937.0,UKX,6924.0,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,ULK,9026.0,,0,AN4,Russia,Russia
2G,1654.0,IKT,2937.0,YKS,2923.0,,0,A81,Russia,Russia
2G,1654.0,KCK,,IKT,2937.0,,0,AN4,Russia,Russia
2G,1654.0,MJZ,2925.0,OVB,4078.0,,0,A81,Russia,Russia
2G,1654.0,ODO,8944.0,IKT,2937.0,,0,AN4,Russia,Russia
2G,1654.0,OVB,4078.0,BTK,2936.0,,0,A81,Russia,Russia
2G,1654.0,OVB,4078.0,CEK,2968.0,,0,A81,Russia,Russia
2G,1654.0,OVB,4078.0,IKT,2937.0,,0,A81,Russia,Russia
